sample_id,split,branch,absrel,d1,eval_points,affine_scale,affine_shift,pred_npy,rgb_png
2018-02-04_21-35-48_00300,test,raw_black05_g075,0.0894897722,0.909622887,1538,0.000364970753,0.00993849002,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_raw_render_sweep_dark10/dav2l_pred/raw_black05_g075/2018-02-04_21-35-48_00300.npy,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_raw_render_sweep_dark10/rendered_rgb/raw_black05_g075/2018-02-04_21-35-48_00300.png
2018-02-04_21-35-48_00300,test,raw_black10_g085,0.123728954,0.864109233,1538,0.000370337817,0.0152803586,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_raw_render_sweep_dark10/dav2l_pred/raw_black10_g085/2018-02-04_21-35-48_00300.npy,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_raw_render_sweep_dark10/rendered_rgb/raw_black10_g085/2018-02-04_21-35-48_00300.png
2018-02-04_21-35-48_00300,test,raw_black05_g075_unsharp,0.0748883466,0.94083225,1538,0.000323232765,0.0075858661,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_raw_render_sweep_dark10/dav2l_pred/raw_black05_g075_unsharp/2018-02-04_21-35-48_00300.npy,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_raw_render_sweep_dark10/rendered_rgb/raw_black05_g075_unsharp/2018-02-04_21-35-48_00300.png
2018-02-04_21-35-48_00300,test,raw_decomp_black05_g075,0.0899738642,0.909622887,1538,0.000364553348,0.0100443611,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_raw_render_sweep_dark10/dav2l_pred/raw_decomp_black05_g075/2018-02-04_21-35-48_00300.npy,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_raw_render_sweep_dark10/rendered_rgb/raw_decomp_black05_g075/2018-02-04_21-35-48_00300.png
2018-02-04_21-32-11_00300,test,dataset_rgb,0.105802267,0.855885589,1818,0.00030416927,0.010850875,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_raw_render_sweep_dark10/dav2l_pred/dataset_rgb/2018-02-04_21-32-11_00300.npy,
2018-02-04_21-32-11_00300,test,raw_rod_like_g045,0.089976075,0.908690869,1818,0.000283166311,0.0141682916,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_raw_render_sweep_dark10/dav2l_pred/raw_rod_like_g045/2018-02-04_21-32-11_00300.npy,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_raw_render_sweep_dark10/rendered_rgb/raw_rod_like_g045/2018-02-04_21-32-11_00300.png
2018-02-04_21-32-11_00300,test,raw_black01_g065,0.0905230044,0.908140814,1818,0.000290006268,0.0139480033,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_raw_render_sweep_dark10/dav2l_pred/raw_black01_g065/2018-02-04_21-32-11_00300.npy,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_raw_render_sweep_dark10/rendered_rgb/raw_black01_g065/2018-02-04_21-32-11_00300.png
2018-02-04_21-32-11_00300,test,raw_black05_g075,0.0883845676,0.905390539,1818,0.000283436052,0.0142125974,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_raw_render_sweep_dark10/dav2l_pred/raw_black05_g075/2018-02-04_21-32-11_00300.npy,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_raw_render_sweep_dark10/rendered_rgb/raw_black05_g075/2018-02-04_21-32-11_00300.png
2018-02-04_21-32-11_00300,test,raw_black10_g085,0.090965717,0.888888889,1818,0.00031743029,0.0146643544,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_raw_render_sweep_dark10/dav2l_pred/raw_black10_g085/2018-02-04_21-32-11_00300.npy,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_raw_render_sweep_dark10/rendered_rgb/raw_black10_g085/2018-02-04_21-32-11_00300.png
2018-02-04_21-32-11_00300,test,raw_black05_g075_unsharp,0.0872321829,0.905390539,1818,0.000271807163,0.0141932233,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_raw_render_sweep_dark10/dav2l_pred/raw_black05_g075_unsharp/2018-02-04_21-32-11_00300.npy,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_raw_render_sweep_dark10/rendered_rgb/raw_black05_g075_unsharp/2018-02-04_21-32-11_00300.png
2018-02-04_21-32-11_00300,test,raw_decomp_black05_g075,0.0890283496,0.901540154,1818,0.000286325405,0.0139713095,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_raw_render_sweep_dark10/dav2l_pred/raw_decomp_black05_g075/2018-02-04_21-32-11_00300.npy,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_raw_render_sweep_dark10/rendered_rgb/raw_decomp_black05_g075/2018-02-04_21-32-11_00300.png
2018-02-04_21-49-30_00300,test,dataset_rgb,0.108363415,0.877729258,1374,0.000393762071,0.0221269186,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_raw_render_sweep_dark10/dav2l_pred/dataset_rgb/2018-02-04_21-49-30_00300.npy,
2018-02-04_21-49-30_00300,test,raw_rod_like_g045,0.138160429,0.818777293,1374,0.000366490083,0.0212958534,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_raw_render_sweep_dark10/dav2l_pred/raw_rod_like_g045/2018-02-04_21-49-30_00300.npy,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_raw_render_sweep_dark10/rendered_rgb/raw_rod_like_g045/2018-02-04_21-49-30_00300.png
2018-02-04_21-49-30_00300,test,raw_black01_g065,0.136058299,0.812227074,1374,0.000397056056,0.023885608,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_raw_render_sweep_dark10/dav2l_pred/raw_black01_g065/2018-02-04_21-49-30_00300.npy,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_raw_render_sweep_dark10/rendered_rgb/raw_black01_g065/2018-02-04_21-49-30_00300.png
2018-02-04_21-49-30_00300,test,raw_black05_g075,0.146765724,0.780931587,1374,0.000376819119,0.0244286521,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_raw_render_sweep_dark10/dav2l_pred/raw_black05_g075/2018-02-04_21-49-30_00300.npy,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_raw_render_sweep_dark10/rendered_rgb/raw_black05_g075/2018-02-04_21-49-30_00300.png
2018-02-04_21-49-30_00300,test,raw_black10_g085,0.195602081,0.729257642,1374,0.000387067399,0.0333339389,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_raw_render_sweep_dark10/dav2l_pred/raw_black10_g085/2018-02-04_21-49-30_00300.npy,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_raw_render_sweep_dark10/rendered_rgb/raw_black10_g085/2018-02-04_21-49-30_00300.png
2018-02-04_21-49-30_00300,test,raw_black05_g075_unsharp,0.121349053,0.836244541,1374,0.000336235561,0.0213199799,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_raw_render_sweep_dark10/dav2l_pred/raw_black05_g075_unsharp/2018-02-04_21-49-30_00300.npy,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_raw_render_sweep_dark10/rendered_rgb/raw_black05_g075_unsharp/2018-02-04_21-49-30_00300.png
2018-02-04_21-49-30_00300,test,raw_decomp_black05_g075,0.140699946,0.823144105,1374,0.000405486195,0.0281013452,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_raw_render_sweep_dark10/dav2l_pred/raw_decomp_black05_g075/2018-02-04_21-49-30_00300.npy,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_raw_render_sweep_dark10/rendered_rgb/raw_decomp_black05_g075/2018-02-04_21-49-30_00300.png
2018-02-04_21-46-57_00000,test,dataset_rgb,0.0994686274,0.870927318,1596,0.00028647668,0.0134314264,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_raw_render_sweep_dark10/dav2l_pred/dataset_rgb/2018-02-04_21-46-57_00000.npy,
2018-02-04_21-46-57_00000,test,raw_rod_like_g045,0.0987346653,0.885964912,1596,0.000278101371,0.012573893,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_raw_render_sweep_dark10/dav2l_pred/raw_rod_like_g045/2018-02-04_21-46-57_00000.npy,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_raw_render_sweep_dark10/rendered_rgb/raw_rod_like_g045/2018-02-04_21-46-57_00000.png
2018-02-04_21-46-57_00000,test,raw_black01_g065,0.0998760432,0.883458647,1596,0.000300709739,0.0131540958,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_raw_render_sweep_dark10/dav2l_pred/raw_black01_g065/2018-02-04_21-46-57_00000.npy,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_raw_render_sweep_dark10/rendered_rgb/raw_black01_g065/2018-02-04_21-46-57_00000.png
2018-02-04_21-46-57_00000,test,raw_black05_g075,0.104671307,0.870300752,1596,0.000298987808,0.0142659359,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_raw_render_sweep_dark10/dav2l_pred/raw_black05_g075/2018-02-04_21-46-57_00000.npy,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_raw_render_sweep_dark10/rendered_rgb/raw_black05_g075/2018-02-04_21-46-57_00000.png
2018-02-04_21-46-57_00000,test,raw_black10_g085,0.122532255,0.813909774,1596,0.000326146056,0.0179670796,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_raw_render_sweep_dark10/dav2l_pred/raw_black10_g085/2018-02-04_21-46-57_00000.npy,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_raw_render_sweep_dark10/rendered_rgb/raw_black10_g085/2018-02-04_21-46-57_00000.png
2018-02-04_21-46-57_00000,test,raw_black05_g075_unsharp,0.100520947,0.885964912,1596,0.000269925108,0.0130928604,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_raw_render_sweep_dark10/dav2l_pred/raw_black05_g075_unsharp/2018-02-04_21-46-57_00000.npy,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_raw_render_sweep_dark10/rendered_rgb/raw_black05_g075_unsharp/2018-02-04_21-46-57_00000.png
2018-02-04_21-46-57_00000,test,raw_decomp_black05_g075,0.104538475,0.873433584,1596,0.000298894476,0.0143923241,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_raw_render_sweep_dark10/dav2l_pred/raw_decomp_black05_g075/2018-02-04_21-46-57_00000.npy,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_raw_render_sweep_dark10/rendered_rgb/raw_decomp_black05_g075/2018-02-04_21-46-57_00000.png
2018-02-04_21-35-48_00400,test,dataset_rgb,0.133787544,0.838370565,1522,0.000313507631,0.0127820696,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_raw_render_sweep_dark10/dav2l_pred/dataset_rgb/2018-02-04_21-35-48_00400.npy,
