item_id,label,index,sample_name,abs_rel,d1,image_edge_band_abs_rel,image_edge_band_coverage,image_edge_band_d1,image_edge_band_points,pseudo_dbe_acc,pseudo_dbe_comp,pseudo_edge_f1,pseudo_edge_precision,pseudo_edge_recall,pseudo_pred_edge_density,pseudo_target_edge_density,rmse,silog
dav2l_rgb_direct,DAv2-L RGB direct,10,2018-02-03_20-55-52_00000,0.16441714356447057,0.765488407449639,0.1775765854116997,0.5953376409476752,0.7818684826558843,4699.0,0.7693164944648743,0.8152318596839905,0.9217421755805718,0.9249947201689546,0.918512424587605,0.048166910807291664,0.048223876953125,9.599559877398859,0.2939579117358059
dav2l_rgb_direct,DAv2-L RGB direct,11,2018-02-03_20-55-52_00100,0.14769627415852576,0.8060535203949077,0.1386883653416093,0.602883865939205,0.8355957767722474,4641.0,0.8033536076545715,0.7335196733474731,0.9266029790780592,0.923687697700265,0.9295367207514944,0.04759521484375,0.047648111979166664,8.154023986336272,0.26636302218675617
dav2l_rgb_direct,DAv2-L RGB direct,12,2018-02-03_20-56-37_00000,0.19974973675173463,0.812671147622604,0.20548945591129153,0.6472491909385113,0.8059615384615385,5200.0,0.5944855809211731,0.4801064431667328,0.9542837548579778,0.948267467757808,0.960376870114407,0.049100240071614586,0.04912567138671875,9.820689452417566,0.40808485405807543
dav2l_rgb_direct,DAv2-L RGB direct,13,2018-02-03_20-57-26_00070,0.13094024782907696,0.8818980667838313,0.16563107612813768,0.49783245459871117,0.8507884208048953,4249.0,0.4994557499885559,0.34942442178726196,0.9640329971709629,0.9564540876969291,0.97173297603354,0.04707132975260417,0.04707132975260417,6.843818523674883,0.27625380909844904
dav2l_rgb_direct,DAv2-L RGB direct,14,2018-02-03_20-57-26_00230,0.19039737233779522,0.8235588972431078,0.22886124163965166,0.5448621553884712,0.7874885004599816,4348.0,0.6105823516845703,0.4425193965435028,0.9527639967775808,0.9443822989842946,0.9612958074186765,0.04546915690104167,0.04546915690104167,8.173138903836417,0.3541189373581294
dav2l_rgb_direct,DAv2-L RGB direct,15,2018-02-03_20-57-26_00300,0.16025274477768126,0.8214546339090246,0.16533140608261473,0.681829238628071,0.8091330717088834,5606.0,0.6568909287452698,0.8942473530769348,0.9257688494751534,0.9398358965546868,0.912116691174103,0.04735921223958333,0.04738820393880208,8.608193260619268,0.2932836185989748
dav2l_rgb_direct,DAv2-L RGB direct,16,2018-02-03_20-59-03_00000,0.19683455740729977,0.7144615384615385,0.16716184475461143,0.704123076923077,0.753364796364272,5721.0,2.6104862689971924,3.3798699378967285,0.6853557530983908,0.7308863098959041,0.6451651926127047,0.03742777506510417,0.037840779622395834,10.98925913159104,0.3193089623555179
dav2l_rgb_direct,DAv2-L RGB direct,17,2018-02-03_20-59-03_00100,0.0970212660965723,0.9414372061786433,0.22054252093459828,0.6013431833445265,0.9260665624301988,4477.0,2.4494261741638184,3.3648669719696045,0.6916430608853281,0.7386007076573871,0.6502993079199768,0.0457122802734375,0.0457122802734375,7.1204062227302165,0.23148220386669477
dav2l_rgb_direct,DAv2-L RGB direct,18,2018-02-03_21-02-09_00000,0.11248951932802202,0.8942453306410904,0.10494351578330911,0.6689803129732458,0.9058668175815884,5301.0,0.6228814125061035,0.7063488960266113,0.9337852321391409,0.9393107096354166,0.9283243815104166,0.05,0.05,7.885111805899679,0.2552974579255681
dav2l_rgb_direct,DAv2-L RGB direct,19,2018-02-03_21-02-09_00100,0.1381257642040004,0.8512780790085205,0.12815304390366702,0.6377485153627679,0.8665991902834008,4940.0,0.7442425489425659,0.6652268767356873,0.9277338545799058,0.9261312556188193,0.9293420095038315,0.04752400716145833,0.04752400716145833,10.234064982231809,0.27704786875878523
dav2l_rgb_direct,DAv2-L RGB direct,20,2018-02-03_21-03-38_00000,0.11472463449335825,0.8503427758375371,0.1124554492528835,0.7251325831069719,0.8581876560827685,5606.0,1.4589643478393555,1.2952747344970703,0.8532574140239577,0.8488411660176188,0.8577198549979304,0.04035797119140625,0.040549214680989584,9.832192266023846,0.26929465059194946
dav2l_rgb_direct,DAv2-L RGB direct,21,2018-02-03_21-03-38_00100,0.06433065403264145,0.9537348151977255,0.06552688147978418,0.7171103644352546,0.9580104523337538,5549.0,0.6058661341667175,0.8154767751693726,0.9255862730226363,0.9390916355887053,0.9124638527047463,0.038187662760416664,0.03834330240885417,5.339584367055189,0.15591688934464623
dav2l_rgb_direct,DAv2-L RGB direct,22,2018-02-03_21-04-07_00000,0.1101391930173274,0.9251866743251005,0.16009446604755423,0.742676622630672,0.9234338747099768,5172.0,0.8859718441963196,1.0827314853668213,0.8930949776430318,0.903866550959406,0.882577115141089,0.04219970703125,0.0425750732421875,7.413180196794234,0.20895500984198476
